placeDcid,placeName,Date:Percent_Person_WithMentalHealthNotGood,Value:Percent_Person_WithMentalHealthNotGood,Source:Percent_Person_WithMentalHealthNotGood,Date:Percent_Person_WithPhysicalHealthNotGood,Value:Percent_Person_WithPhysicalHealthNotGood,Source:Percent_Person_WithPhysicalHealthNotGood,Date:Percent_Person_18OrMoreYears_WithPoorGeneralHealth,Value:Percent_Person_18OrMoreYears_WithPoorGeneralHealth,Source:Percent_Person_18OrMoreYears_WithPoorGeneralHealth,Date:Percent_Person_WithStroke,Value:Percent_Person_WithStroke,Source:Percent_Person_WithStroke
geoId/01001,Autauga County,2022,18,https://www.cdc.gov/places/index.html,2022,12.1,https://www.cdc.gov/places/index.html,2022,17.7,https://www.cdc.gov/places/index.html,2022,3.2,https://www.cdc.gov/places/index.html
geoId/01003,Baldwin County,2022,18.2,https://www.cdc.gov/places/index.html,2022,12.1,https://www.cdc.gov/places/index.html,2022,17,https://www.cdc.gov/places/index.html,2022,2.8,https://www.cdc.gov/places/index.html
geoId/01005,Barbour County,2022,21.1,https://www.cdc.gov/places/index.html,2022,16.8,https://www.cdc.gov/places/index.html,2022,28.4,https://www.cdc.gov/places/index.html,2022,5,https://www.cdc.gov/places/index.html
geoId/01007,Bibb County,2022,21.3,https://www.cdc.gov/places/index.html,2022,16.1,https://www.cdc.gov/places/index.html,2022,25.1,https://www.cdc.gov/places/index.html,2022,4,https://www.cdc.gov/places/index.html
geoId/01009,Blount County,2022,21.1,https://www.cdc.gov/places/index.html,2022,15.2,https://www.cdc.gov/places/index.html,2022,22.6,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/01011,Bullock County,2022,22.6,https://www.cdc.gov/places/index.html,2022,19.2,https://www.cdc.gov/places/index.html,2022,34.9,https://www.cdc.gov/places/index.html,2022,6.3,https://www.cdc.gov/places/index.html
geoId/01013,Butler County,2022,21.4,https://www.cdc.gov/places/index.html,2022,15.8,https://www.cdc.gov/places/index.html,2022,26,https://www.cdc.gov/places/index.html,2022,4.5,https://www.cdc.gov/places/index.html
geoId/01015,Calhoun County,2022,19.6,https://www.cdc.gov/places/index.html,2022,14.3,https://www.cdc.gov/places/index.html,2022,21.5,https://www.cdc.gov/places/index.html,2022,3.7,https://www.cdc.gov/places/index.html
geoId/01017,Chambers County,2022,21.8,https://www.cdc.gov/places/index.html,2022,15.9,https://www.cdc.gov/places/index.html,2022,26.7,https://www.cdc.gov/places/index.html,2022,4.4,https://www.cdc.gov/places/index.html
geoId/01019,Cherokee County,2022,20,https://www.cdc.gov/places/index.html,2022,13.7,https://www.cdc.gov/places/index.html,2022,19.5,https://www.cdc.gov/places/index.html,2022,3.4,https://www.cdc.gov/places/index.html
