placeDcid,placeName,Date:Count_Household_FamilyHousehold,Value:Count_Household_FamilyHousehold,Source:Count_Household_FamilyHousehold,Date:Count_Household_MarriedCoupleFamilyHousehold,Value:Count_Household_MarriedCoupleFamilyHousehold,Source:Count_Household_MarriedCoupleFamilyHousehold,Date:Count_Household_NonfamilyHousehold,Value:Count_Household_NonfamilyHousehold,Source:Count_Household_NonfamilyHousehold,Date:Count_Household_OtherFamilyHousehold,Value:Count_Household_OtherFamilyHousehold,Source:Count_Household_OtherFamilyHousehold
geoId/01001,Autauga County,2022,15363,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,11889,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6945,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3474,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01003,Baldwin County,2022,61277,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,51019,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,29525,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,10258,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01005,Barbour County,2022,5722,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3431,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3294,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2291,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01007,Bibb County,2022,4871,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3617,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2345,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1254,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01009,Blount County,2022,15416,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,12066,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6210,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3350,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01011,Bullock County,2022,2248,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1184,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1202,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1064,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01013,Butler County,2022,4620,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3241,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2511,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1379,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01015,Calhoun County,2022,28213,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,19177,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,16480,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,9036,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2022,8880,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5775,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4263,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3105,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01019,Cherokee County,2022,6609,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5257,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3388,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1352,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01021,Chilton County,2022,12257,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,9062,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4674,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3195,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01023,Choctaw County,2022,3246,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1982,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,913,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01025,Clarke County,2022,5181,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3442,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3007,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1739,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01027,Clay County,2022,3934,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3169,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1551,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,765,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01029,Cleburne County,2022,3834,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2986,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1927,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,848,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01031,Coffee County,2022,13698,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,9828,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6665,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3870,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01033,Colbert County,2022,14999,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,11064,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,8267,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3935,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01035,Conecuh County,2022,2601,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1713,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1852,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,888,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01037,Coosa County,2022,2761,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1980,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1238,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,781,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
