placeDcid,placeName,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
geoId/01001,Autauga County,2022,1199,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01003,Baldwin County,2022,1160,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01005,Barbour County,2022,627,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01007,Bibb County,2022,765,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01009,Blount County,2022,734,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01011,Bullock County,2022,619,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01013,Butler County,2022,720,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01015,Calhoun County,2022,806,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01017,Chambers County,2022,842,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01019,Cherokee County,2022,700,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01021,Chilton County,2022,814,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01023,Choctaw County,2022,616,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01025,Clarke County,2022,723,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01027,Clay County,2022,576,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01029,Cleburne County,2022,782,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01031,Coffee County,2022,921,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01033,Colbert County,2022,810,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01035,Conecuh County,2022,718,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01037,Coosa County,2022,632,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01039,Covington County,2022,701,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01041,Crenshaw County,2022,595,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01043,Cullman County,2022,848,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01045,Dale County,2022,829,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01047,Dallas County,2022,726,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01049,DeKalb County,2022,684,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01051,Elmore County,2022,982,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01053,Escambia County,2022,659,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01055,Etowah County,2022,779,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01057,Fayette County,2022,600,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01059,Franklin County,2022,596,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01061,Geneva County,2022,696,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01063,Greene County,2022,682,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01065,Hale County,2022,668,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01067,Henry County,2022,678,https://data.census.gov/table/ACSDT5Y2022.B25031
