placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/01001,Autauga County,2022,59726,https://www2.census.gov/programs-surveys/popest/tables
geoId/01003,Baldwin County,2022,246531,https://www2.census.gov/programs-surveys/popest/tables
geoId/01005,Barbour County,2022,24700,https://www2.census.gov/programs-surveys/popest/tables
geoId/01007,Bibb County,2022,21986,https://www2.census.gov/programs-surveys/popest/tables
geoId/01009,Blount County,2022,59516,https://www2.census.gov/programs-surveys/popest/tables
geoId/01011,Bullock County,2022,10143,https://www2.census.gov/programs-surveys/popest/tables
geoId/01013,Butler County,2022,18668,https://www2.census.gov/programs-surveys/popest/tables
geoId/01015,Calhoun County,2022,115780,https://www2.census.gov/programs-surveys/popest/tables
geoId/01017,Chambers County,2022,34164,https://www2.census.gov/programs-surveys/popest/tables
geoId/01019,Cherokee County,2022,25353,https://www2.census.gov/programs-surveys/popest/tables
geoId/01021,Chilton County,2022,45848,https://www2.census.gov/programs-surveys/popest/tables
geoId/01023,Choctaw County,2022,12431,https://www2.census.gov/programs-surveys/popest/tables
geoId/01025,Clarke County,2022,22574,https://www2.census.gov/programs-surveys/popest/tables
geoId/01027,Clay County,2022,14183,https://www2.census.gov/programs-surveys/popest/tables
geoId/01029,Cleburne County,2022,15372,https://www2.census.gov/programs-surveys/popest/tables
geoId/01031,Coffee County,2022,54840,https://www2.census.gov/programs-surveys/popest/tables
geoId/01033,Colbert County,2022,57993,https://www2.census.gov/programs-surveys/popest/tables
geoId/01035,Conecuh County,2022,11224,https://www2.census.gov/programs-surveys/popest/tables
geoId/01037,Coosa County,2022,10307,https://www2.census.gov/programs-surveys/popest/tables
geoId/01039,Covington County,2022,37603,https://www2.census.gov/programs-surveys/popest/tables
geoId/01041,Crenshaw County,2022,13048,https://www2.census.gov/programs-surveys/popest/tables
geoId/01043,Cullman County,2022,90663,https://www2.census.gov/programs-surveys/popest/tables
geoId/01045,Dale County,2022,49495,https://www2.census.gov/programs-surveys/popest/tables
geoId/01047,Dallas County,2022,36729,https://www2.census.gov/programs-surveys/popest/tables
geoId/01049,DeKalb County,2022,72082,https://www2.census.gov/programs-surveys/popest/tables
geoId/01051,Elmore County,2022,89600,https://www2.census.gov/programs-surveys/popest/tables
geoId/01053,Escambia County,2022,36636,https://www2.census.gov/programs-surveys/popest/tables
geoId/01055,Etowah County,2022,102903,https://www2.census.gov/programs-surveys/popest/tables
geoId/01057,Fayette County,2022,16082,https://www2.census.gov/programs-surveys/popest/tables
geoId/01059,Franklin County,2022,31910,https://www2.census.gov/programs-surveys/popest/tables
geoId/01061,Geneva County,2022,26760,https://www2.census.gov/programs-surveys/popest/tables
geoId/01063,Greene County,2022,7452,https://www2.census.gov/programs-surveys/popest/tables
geoId/01065,Hale County,2022,14599,https://www2.census.gov/programs-surveys/popest/tables
geoId/01067,Henry County,2022,17670,https://www2.census.gov/programs-surveys/popest/tables
geoId/01069,Houston County,2022,108047,https://www2.census.gov/programs-surveys/popest/tables
geoId/01071,Jackson County,2022,52923,https://www2.census.gov/programs-surveys/popest/tables
geoId/01073,Jefferson County,2022,665084,https://www2.census.gov/programs-surveys/popest/tables
geoId/01075,Lamar County,2022,13706,https://www2.census.gov/programs-surveys/popest/tables
geoId/01077,Lauderdale County,2022,95875,https://www2.census.gov/programs-surveys/popest/tables
geoId/01079,Lawrence County,2022,33187,https://www2.census.gov/programs-surveys/popest/tables
geoId/01081,Lee County,2022,180698,https://www2.census.gov/programs-surveys/popest/tables
geoId/01083,Limestone County,2022,110868,https://www2.census.gov/programs-surveys/popest/tables
geoId/01085,Lowndes County,2022,9783,https://www2.census.gov/programs-surveys/popest/tables
geoId/01087,Macon County,2022,18532,https://www2.census.gov/programs-surveys/popest/tables
geoId/01089,Madison County,2022,403605,https://www2.census.gov/programs-surveys/popest/tables
geoId/01091,Marengo County,2022,18791,https://www2.census.gov/programs-surveys/popest/tables
geoId/01093,Marion County,2022,29182,https://www2.census.gov/programs-surveys/popest/tables
geoId/01095,Marshall County,2022,99428,https://www2.census.gov/programs-surveys/popest/tables
geoId/01097,Mobile County,2022,411398,https://www2.census.gov/programs-surveys/popest/tables
geoId/01099,Monroe County,2022,19412,https://www2.census.gov/programs-surveys/popest/tables
