placeDcid,placeName,Date:Count_Person_Years16Onwards_Bicycle_WorkCommute_Employed,Value:Count_Person_Years16Onwards_Bicycle_WorkCommute_Employed,Source:Count_Person_Years16Onwards_Bicycle_WorkCommute_Employed,Date:Count_Person_Years16Onwards_CarTruckOrVan_WorkCommute_Employed,Value:Count_Person_Years16Onwards_CarTruckOrVan_WorkCommute_Employed,Source:Count_Person_Years16Onwards_CarTruckOrVan_WorkCommute_Employed,Date:Count_Person_Years16Onwards_DroveAlone_WorkCommute_Employed,Value:Count_Person_Years16Onwards_DroveAlone_WorkCommute_Employed,Source:Count_Person_Years16Onwards_DroveAlone_WorkCommute_Employed,Date:Count_Person_Years16Onwards_PublicTransportationExcludingTaxicab_WorkCommute_Employed,Value:Count_Person_Years16Onwards_PublicTransportationExcludingTaxicab_WorkCommute_Employed,Source:Count_Person_Years16Onwards_PublicTransportationExcludingTaxicab_WorkCommute_Employed,Date:Count_Person_Years16Onwards_Walked_WorkCommute_Employed,Value:Count_Person_Years16Onwards_Walked_WorkCommute_Employed,Source:Count_Person_Years16Onwards_Walked_WorkCommute_Employed
geoId/01001,Autauga County,2022,54.062,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,25084.768,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,23084.474,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,162.186,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,135.155,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01003,Baldwin County,2022,211.73,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,93478.795,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,86068.245,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,105.865,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1270.38,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01005,Barbour County,2022,8.341,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7707.084,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6847.961,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,8.341,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,200.184,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01007,Bibb County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7660.8,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7096.32,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,56.448,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01009,Blount County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,23011.086,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,20717.298,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,219.618,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01011,Bullock County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3583.346,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3259.594,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,14.716,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01013,Butler County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6987.33,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6366.234,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,14.788,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,14.788,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01015,Calhoun County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,46257.508,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,41661.096,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,293.388,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,586.776,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01017,Chambers County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,13839.04,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,12548.96,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,73.3,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,190.58,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01019,Cherokee County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,9403.707,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,8607.466,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,70.553,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,100.79,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
