placeDcid,placeName,Date:Count_Household_With0AvailableVehicles,Value:Count_Household_With0AvailableVehicles,Source:Count_Household_With0AvailableVehicles,Date:Count_Household_With1AvailableVehicles,Value:Count_Household_With1AvailableVehicles,Source:Count_Household_With1AvailableVehicles,Date:Count_Household_With2AvailableVehicles,Value:Count_Household_With2AvailableVehicles,Source:Count_Household_With2AvailableVehicles,Date:Count_Household_With3AvailableVehicles,Value:Count_Household_With3AvailableVehicles,Source:Count_Household_With3AvailableVehicles
geoId/01001,Autauga County,2022,888,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7080,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7741,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4269,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01003,Baldwin County,2022,2056,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,28223,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38546,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,15233,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01005,Barbour County,2022,1058,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3002,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2887,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1387,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01007,Bibb County,2022,544,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1836,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2539,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1384,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01009,Blount County,2022,1047,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7072,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4861,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01011,Bullock County,2022,359,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1283,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1109,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,445,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01013,Butler County,2022,359,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2310,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2512,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1328,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01015,Calhoun County,2022,2490,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,13577,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,16639,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7819,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2022,916,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3484,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4693,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2524,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01019,Cherokee County,2022,324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2832,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3734,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01021,Chilton County,2022,556,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4040,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6849,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3459,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01023,Choctaw County,2022,297,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1530,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1841,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,895,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01025,Clarke County,2022,869,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2511,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2719,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1397,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01027,Clay County,2022,349,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1193,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1857,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1269,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01029,Cleburne County,2022,389,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1334,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2019,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1130,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01031,Coffee County,2022,807,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6347,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7561,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3498,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01033,Colbert County,2022,1089,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,8590,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4258,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01035,Conecuh County,2022,312,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1725,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1526,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,451,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01037,Coosa County,2022,151,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,967,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1640,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,734,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01039,Covington County,2022,902,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4533,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5218,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01041,Crenshaw County,2022,354,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1492,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1855,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,787,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01043,Cullman County,2022,990,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,8998,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,12131,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6797,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01045,Dale County,2022,1014,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6582,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3135,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01047,Dallas County,2022,2153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5260,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,4108,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1913,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
