placeDcid,placeName,Date:Count_Person_Years16Onwards_WorkedFromHome_WorkCommute_Employed,Value:Count_Person_Years16Onwards_WorkedFromHome_WorkCommute_Employed,Source:Count_Person_Years16Onwards_WorkedFromHome_WorkCommute_Employed
geoId/01001,Autauga County,2022,1432.643,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01003,Baldwin County,2022,9633.715,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01005,Barbour County,2022,333.64,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01007,Bibb County,2022,314.496,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01009,Blount County,2022,1000.482,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01011,Bullock County,2022,25.753,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01013,Butler County,2022,273.578,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01015,Calhoun County,2022,1564.736,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01017,Chambers County,2022,410.48,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01019,Cherokee County,2022,332.607,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01021,Chilton County,2022,833.58,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01023,Choctaw County,2022,52.824,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01025,Clarke County,2022,146.186,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01027,Clay County,2022,253.624,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01029,Cleburne County,2022,190.162,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01031,Coffee County,2022,702.739,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01033,Colbert County,2022,1284.945,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01035,Conecuh County,2022,62.288,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01037,Coosa County,2022,234.911,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01039,Covington County,2022,343.344,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01041,Crenshaw County,2022,282.04,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01043,Cullman County,2022,1005.446,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01045,Dale County,2022,691.915,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01047,Dallas County,2022,579.658,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01049,DeKalb County,2022,1151.02,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01051,Elmore County,2022,2487.808,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01053,Escambia County,2022,101.864,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01055,Etowah County,2022,1355.165,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01057,Fayette County,2022,174.608,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01059,Franklin County,2022,201.045,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01061,Geneva County,2022,361.318,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01063,Greene County,2022,71.61,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01065,Hale County,2022,128.592,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01067,Henry County,2022,257.544,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01069,Houston County,2022,1950.652,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01071,Jackson County,2022,780.897,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01073,Jefferson County,2022,26335.092,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01075,Lamar County,2022,177.548,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01077,Lauderdale County,2022,2233.816,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01079,Lawrence County,2022,315.56,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01081,Lee County,2022,5812.488,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01083,Limestone County,2022,3690.57,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01085,Lowndes County,2022,127.47,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01087,Macon County,2022,346.137,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01089,Madison County,2022,21784.602,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01091,Marengo County,2022,384.748,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01093,Marion County,2022,353.632,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01095,Marshall County,2022,2329.362,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01097,Mobile County,2022,10956.267,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01099,Monroe County,2022,223.92,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01101,Montgomery County,2022,6175.323,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01103,Morgan County,2022,2713.4,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01105,Perry County,2022,68.992,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01107,Pickens County,2022,414.842,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01109,Pike County,2022,480.168,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01111,Randolph County,2022,473.536,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01113,Russell County,2022,1437.526,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01115,St. Clair County,2022,3056.348,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01117,Shelby County,2022,14773.132,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01119,Sumter County,2022,223.344,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01121,Talladega County,2022,873.432,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01123,Tallapoosa County,2022,600.132,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01125,Tuscaloosa County,2022,5923.335,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01127,Walker County,2022,990.678,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01129,Washington County,2022,341.992,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01131,Wilcox County,2022,98.394,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01133,Winston County,2022,495.057,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02013,Aleutians East Borough,2022,352.308,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02016,Aleutians West Census Area,2022,95.564,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02020,Anchorage Municipality,2022,12927.939,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02050,Bethel Census Area,2022,405.972,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02060,Bristol Bay Borough,2022,39.858,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02063,Chugach Census Area,2022,150.285,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02066,Copper River Census Area,2022,128.76,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02068,Denali Borough,2022,58.338,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02070,Dillingham Census Area,2022,120.935,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02090,Fairbanks North Star Borough,2022,2939.224,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02100,Haines Borough,2022,56.952,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02105,Hoonah-Angoon Census Area,2022,64.239,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02110,Juneau City and Borough,2022,1702.48,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02122,Kenai Peninsula Borough,2022,2279.523,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02130,Ketchikan Gateway Borough,2022,294.756,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02150,Kodiak Island Borough,2022,447.85,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02158,Kusilvak Census Area,2022,105.512,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02164,Lake and Peninsula Borough,2022,25.116,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02170,Matanuska-Susitna Borough,2022,4364.3,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02180,Nome Census Area,2022,197.964,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02185,North Slope Borough,2022,280.28,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02188,Northwest Arctic Borough,2022,116.15,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02195,Petersburg Borough,2022,98.53,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02198,Prince of Wales-Hyder Census Area,2022,112.918,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/02220,Sitka City and Borough,2022,315.724,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
