placeDcid,placeName,Date:Count_Person_BelowPovertyLevelInThePast12Months,Value:Count_Person_BelowPovertyLevelInThePast12Months,Source:Count_Person_BelowPovertyLevelInThePast12Months
geoId/01001,Autauga County,2022,6630,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01003,Baldwin County,2022,23445,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01005,Barbour County,2022,5280,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01007,Bibb County,2022,4297,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01009,Blount County,2022,8277,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01011,Bullock County,2022,2687,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01013,Butler County,2022,3937,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01015,Calhoun County,2022,20267,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2022,6080,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01019,Cherokee County,2022,3516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01021,Chilton County,2022,6422,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01023,Choctaw County,2022,2388,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01025,Clarke County,2022,5073,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01027,Clay County,2022,2440,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01029,Cleburne County,2022,1931,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01031,Coffee County,2022,8592,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01033,Colbert County,2022,8998,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01035,Conecuh County,2022,2122,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01037,Coosa County,2022,1102,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01039,Covington County,2022,6921,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01041,Crenshaw County,2022,1916,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01043,Cullman County,2022,11364,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01045,Dale County,2022,8469,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01047,Dallas County,2022,10230,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01049,DeKalb County,2022,14251,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01051,Elmore County,2022,7986,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01053,Escambia County,2022,7449,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01055,Etowah County,2022,16146,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01057,Fayette County,2022,3543,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01059,Franklin County,2022,5246,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01061,Geneva County,2022,5480,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01063,Greene County,2022,2504,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01065,Hale County,2022,3613,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01067,Henry County,2022,2608,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01069,Houston County,2022,18878,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01071,Jackson County,2022,9680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
