placeDcid,placeName,Date:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue,Value:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue,Source:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue
geoId/01001,Autauga County,2021,43129000,https://www.bea.gov/
geoId/01003,Baldwin County,2021,579733000,https://www.bea.gov/
geoId/01005,Barbour County,2021,16773000,https://www.bea.gov/
geoId/01007,Bibb County,2021,5253000,https://www.bea.gov/
geoId/01009,Blount County,2021,20091000,https://www.bea.gov/
geoId/01011,Bullock County,2021,3248000,https://www.bea.gov/
geoId/01013,Butler County,2021,19007000,https://www.bea.gov/
geoId/01015,Calhoun County,2021,128661000,https://www.bea.gov/
geoId/01017,Chambers County,2015,19536000,https://www.bea.gov/
geoId/01019,Cherokee County,2021,12001000,https://www.bea.gov/
geoId/01021,Chilton County,2021,23949000,https://www.bea.gov/
geoId/01023,Choctaw County,2021,3290000,https://www.bea.gov/
geoId/01025,Clarke County,2021,16296000,https://www.bea.gov/
geoId/01027,Clay County,2016,2972000,https://www.bea.gov/
geoId/01029,Cleburne County,2021,3624000,https://www.bea.gov/
geoId/01031,Coffee County,2021,46938000,https://www.bea.gov/
geoId/01033,Colbert County,2021,47309000,https://www.bea.gov/
geoId/01035,Conecuh County,2021,6255000,https://www.bea.gov/
geoId/01037,Coosa County,2020,2616000,https://www.bea.gov/
geoId/01039,Covington County,2021,24948000,https://www.bea.gov/
geoId/01041,Crenshaw County,2021,6158000,https://www.bea.gov/
geoId/01043,Cullman County,2021,83077000,https://www.bea.gov/
geoId/01045,Dale County,2021,33076000,https://www.bea.gov/
geoId/01047,Dallas County,2021,19775000,https://www.bea.gov/
geoId/01049,DeKalb County,2021,53738000,https://www.bea.gov/
geoId/01051,Elmore County,2021,89399000,https://www.bea.gov/
geoId/01053,Escambia County,2021,27267000,https://www.bea.gov/
geoId/01055,Etowah County,2021,103006000,https://www.bea.gov/
geoId/01057,Fayette County,2021,5269000,https://www.bea.gov/
geoId/01059,Franklin County,2021,21951000,https://www.bea.gov/
geoId/01061,Geneva County,2021,8500000,https://www.bea.gov/
geoId/01063,Greene County,2021,10032000,https://www.bea.gov/
geoId/01065,Hale County,2019,3657000,https://www.bea.gov/
geoId/01067,Henry County,2021,6312000,https://www.bea.gov/
geoId/01069,Houston County,2021,170830000,https://www.bea.gov/
geoId/01071,Jackson County,2021,30156000,https://www.bea.gov/
geoId/01073,Jefferson County,2021,1156138000,https://www.bea.gov/
geoId/01075,Lamar County,2021,5713000,https://www.bea.gov/
geoId/01077,Lauderdale County,2021,113116000,https://www.bea.gov/
geoId/01079,Lawrence County,2017,12534000,https://www.bea.gov/
geoId/01081,Lee County,2021,241607000,https://www.bea.gov/
geoId/01083,Limestone County,2021,65182000,https://www.bea.gov/
geoId/01085,Lowndes County,2020,1627000,https://www.bea.gov/
geoId/01087,Macon County,2021,17815000,https://www.bea.gov/
geoId/01089,Madison County,2021,551071000,https://www.bea.gov/
geoId/01091,Marengo County,2021,13420000,https://www.bea.gov/
geoId/01093,Marion County,2021,17874000,https://www.bea.gov/
geoId/01095,Marshall County,2021,97994000,https://www.bea.gov/
geoId/01097,Mobile County,2021,506265000,https://www.bea.gov/
geoId/01099,Monroe County,2021,10222000,https://www.bea.gov/
geoId/01101,Montgomery County,2021,402261000,https://www.bea.gov/
geoId/01103,Morgan County,2021,126054000,https://www.bea.gov/
geoId/01105,Perry County,2021,3309000,https://www.bea.gov/
geoId/01107,Pickens County,2021,4117000,https://www.bea.gov/
geoId/01109,Pike County,2021,40422000,https://www.bea.gov/
geoId/01111,Randolph County,2021,8337000,https://www.bea.gov/
geoId/01113,Russell County,2021,44472000,https://www.bea.gov/
geoId/01115,St. Clair County,2021,61264000,https://www.bea.gov/
geoId/01117,Shelby County,2021,278682000,https://www.bea.gov/
geoId/01119,Sumter County,2021,6566000,https://www.bea.gov/
geoId/01121,Talladega County,2021,74419000,https://www.bea.gov/
geoId/01123,Tallapoosa County,2021,42603000,https://www.bea.gov/
geoId/01125,Tuscaloosa County,2021,299146000,https://www.bea.gov/
geoId/01127,Walker County,2021,59647000,https://www.bea.gov/
geoId/01129,Washington County,2019,1488000,https://www.bea.gov/
geoId/01131,Wilcox County,2021,3407000,https://www.bea.gov/
geoId/01133,Winston County,2020,8186000,https://www.bea.gov/
geoId/02013,Aleutians East Borough,2021,1652000,https://www.bea.gov/
geoId/02016,Aleutians West Census Area,2019,2665000,https://www.bea.gov/
geoId/02020,Anchorage Municipality,2021,670139000,https://www.bea.gov/
geoId/02050,Bethel Census Area,2021,6352000,https://www.bea.gov/
geoId/02060,Bristol Bay Borough,2021,10958000,https://www.bea.gov/
geoId/02068,Denali Borough,2021,58610000,https://www.bea.gov/
geoId/02070,Dillingham Census Area,2021,9614000,https://www.bea.gov/
geoId/02090,Fairbanks North Star Borough,2021,173128000,https://www.bea.gov/
geoId/02100,Haines Borough,2021,16915000,https://www.bea.gov/
geoId/02105,Hoonah-Angoon Census Area,2021,13143000,https://www.bea.gov/
geoId/02110,Juneau City and Borough,2021,64678000,https://www.bea.gov/
geoId/02122,Kenai Peninsula Borough,2021,108600000,https://www.bea.gov/
geoId/02130,Ketchikan Gateway Borough,2021,44972000,https://www.bea.gov/
geoId/02150,Kodiak Island Borough,2021,18607000,https://www.bea.gov/
geoId/02158,Kusilvak Census Area,2021,215000,https://www.bea.gov/
geoId/02164,Lake and Peninsula Borough,2021,13400000,https://www.bea.gov/
geoId/02170,Matanuska-Susitna Borough,2021,111882000,https://www.bea.gov/
geoId/02180,Nome Census Area,2021,6671000,https://www.bea.gov/
geoId/02185,North Slope Borough,2020,31795000,https://www.bea.gov/
geoId/02188,Northwest Arctic Borough,2021,11659000,https://www.bea.gov/
geoId/02195,Petersburg Borough,2021,3882000,https://www.bea.gov/
geoId/02198,Prince of Wales-Hyder Census Area,2021,10569000,https://www.bea.gov/
geoId/02220,Sitka City and Borough,2019,26463000,https://www.bea.gov/
geoId/02230,Skagway Municipality,2021,7991000,https://www.bea.gov/
geoId/02240,Southeast Fairbanks Census Area,2018,10427000,https://www.bea.gov/
geoId/02261,Valdez-Cordova Census Area,2019,25492000,https://www.bea.gov/
geoId/02275,Wrangell City and Borough,2021,2147000,https://www.bea.gov/
geoId/02280,Petersburg Borough,2008,8162000,https://www.bea.gov/
geoId/02282,Yakutat City and Borough,2021,3388000,https://www.bea.gov/
geoId/02290,Yukon-Koyukuk Census Area,2021,2613000,https://www.bea.gov/
geoId/04001,Apache County,2021,34549000,https://www.bea.gov/
geoId/04003,Cochise County,2021,107619000,https://www.bea.gov/
geoId/04005,Coconino County,2021,660306000,https://www.bea.gov/
geoId/04007,Gila County,2021,58791000,https://www.bea.gov/
geoId/04009,Graham County,2021,24017000,https://www.bea.gov/
geoId/04011,Greenlee County,2020,4771000,https://www.bea.gov/
geoId/04012,La Paz County,2021,33750000,https://www.bea.gov/
geoId/04013,Maricopa County,2021,9380562000,https://www.bea.gov/
geoId/04015,Mohave County,2020,220890000,https://www.bea.gov/
geoId/04017,Navajo County,2021,118252000,https://www.bea.gov/
geoId/04019,Pima County,2021,1510811000,https://www.bea.gov/
geoId/04021,Pinal County,2021,232452000,https://www.bea.gov/
geoId/04023,Santa Cruz County,2021,47307000,https://www.bea.gov/
geoId/04025,Yavapai County,2021,387239000,https://www.bea.gov/
geoId/04027,Yuma County,2021,231238000,https://www.bea.gov/
geoId/05001,Arkansas County,2021,16365000,https://www.bea.gov/
geoId/05003,Ashley County,2021,10366000,https://www.bea.gov/
geoId/05005,Baxter County,2021,49863000,https://www.bea.gov/
geoId/05007,Benton County,2021,497085000,https://www.bea.gov/
geoId/05009,Boone County,2021,37255000,https://www.bea.gov/
geoId/05011,Bradley County,2021,4598000,https://www.bea.gov/
geoId/05013,Calhoun County,2021,653000,https://www.bea.gov/
geoId/05015,Carroll County,2021,57614000,https://www.bea.gov/
geoId/05017,Chicot County,2021,4491000,https://www.bea.gov/
geoId/05019,Clark County,2021,28972000,https://www.bea.gov/
geoId/05021,Clay County,2011,4925000,https://www.bea.gov/
geoId/05023,Cleburne County,2021,33528000,https://www.bea.gov/
geoId/05025,Cleveland County,2006,478000,https://www.bea.gov/
geoId/05027,Columbia County,2021,22992000,https://www.bea.gov/
geoId/05029,Conway County,2021,25429000,https://www.bea.gov/
geoId/05031,Craighead County,2021,185982000,https://www.bea.gov/
geoId/05033,Crawford County,2021,45213000,https://www.bea.gov/
geoId/05035,Crittenden County,2021,106327000,https://www.bea.gov/
geoId/05037,Cross County,2021,10364000,https://www.bea.gov/
geoId/05039,Dallas County,2021,3577000,https://www.bea.gov/
geoId/05041,Desha County,2021,11111000,https://www.bea.gov/
geoId/05043,Drew County,2021,17743000,https://www.bea.gov/
geoId/05045,Faulkner County,2006,107584000,https://www.bea.gov/
geoId/05047,Franklin County,2021,9101000,https://www.bea.gov/
geoId/05049,Fulton County,2021,3927000,https://www.bea.gov/
geoId/05051,Garland County,2021,268869000,https://www.bea.gov/
geoId/05053,Grant County,2021,7308000,https://www.bea.gov/
geoId/05055,Greene County,2021,35849000,https://www.bea.gov/
geoId/05057,Hempstead County,2021,18661000,https://www.bea.gov/
geoId/05059,Hot Spring County,2021,19951000,https://www.bea.gov/
geoId/05061,Howard County,2021,8713000,https://www.bea.gov/
geoId/05063,Independence County,2021,33763000,https://www.bea.gov/
geoId/05065,Izard County,2021,5509000,https://www.bea.gov/
geoId/05067,Jackson County,2021,9841000,https://www.bea.gov/
geoId/05069,Jefferson County,2021,84024000,https://www.bea.gov/
geoId/05071,Johnson County,2021,14516000,https://www.bea.gov/
geoId/05073,Lafayette County,2021,1683000,https://www.bea.gov/
geoId/05075,Lawrence County,2021,8417000,https://www.bea.gov/
geoId/05077,Lee County,2021,2410000,https://www.bea.gov/
geoId/05079,Lincoln County,2021,3585000,https://www.bea.gov/
geoId/05081,Little River County,2018,4413000,https://www.bea.gov/
geoId/05083,Logan County,2021,7890000,https://www.bea.gov/
geoId/05085,Lonoke County,2021,57623000,https://www.bea.gov/
geoId/05087,Madison County,2020,4930000,https://www.bea.gov/
geoId/05089,Marion County,2021,5974000,https://www.bea.gov/
geoId/05091,Miller County,2021,45263000,https://www.bea.gov/
geoId/05093,Mississippi County,2021,34169000,https://www.bea.gov/
geoId/05095,Monroe County,2021,6939000,https://www.bea.gov/
geoId/05097,Montgomery County,2021,12018000,https://www.bea.gov/
geoId/05099,Nevada County,2021,2836000,https://www.bea.gov/
geoId/05101,Newton County,2021,6145000,https://www.bea.gov/
geoId/05103,Ouachita County,2021,11187000,https://www.bea.gov/
geoId/05105,Perry County,2021,2585000,https://www.bea.gov/
geoId/05107,Phillips County,2021,9871000,https://www.bea.gov/
geoId/05109,Pike County,2021,7467000,https://www.bea.gov/
geoId/05111,Poinsett County,2021,12087000,https://www.bea.gov/
geoId/05113,Polk County,2021,13576000,https://www.bea.gov/
geoId/05115,Pope County,2021,78277000,https://www.bea.gov/
geoId/05117,Prairie County,2021,4889000,https://www.bea.gov/
geoId/05119,Pulaski County,2021,771827000,https://www.bea.gov/
geoId/05121,Randolph County,2019,9968000,https://www.bea.gov/
geoId/05123,St. Francis County,2021,18317000,https://www.bea.gov/
geoId/05125,Saline County,2021,107181000,https://www.bea.gov/
geoId/05127,Scott County,2021,3932000,https://www.bea.gov/
geoId/05129,Searcy County,2021,7705000,https://www.bea.gov/
geoId/05131,Sebastian County,2021,186818000,https://www.bea.gov/
geoId/05133,Sevier County,2021,7936000,https://www.bea.gov/
geoId/05135,Sharp County,2020,9060000,https://www.bea.gov/
geoId/05137,Stone County,2021,13679000,https://www.bea.gov/
geoId/05139,Union County,2021,46764000,https://www.bea.gov/
geoId/05141,Van Buren County,2021,8706000,https://www.bea.gov/
geoId/05143,Washington County,2021,423297000,https://www.bea.gov/
geoId/05145,White County,2021,74523000,https://www.bea.gov/
geoId/05147,Woodruff County,2020,2337000,https://www.bea.gov/
geoId/05149,Yell County,2021,6871000,https://www.bea.gov/
geoId/06001,Alameda County,2021,3383643000,https://www.bea.gov/
geoId/06003,Alpine County,2021,23145000,https://www.bea.gov/
geoId/06005,Amador County,2021,48263000,https://www.bea.gov/
geoId/06007,Butte County,2021,289565000,https://www.bea.gov/
geoId/06009,Calaveras County,2021,50147000,https://www.bea.gov/
geoId/06011,Colusa County,2021,22198000,https://www.bea.gov/
geoId/06013,Contra Costa County,2021,1671303000,https://www.bea.gov/
geoId/06015,Del Norte County,2021,40412000,https://www.bea.gov/
geoId/06017,El Dorado County,2021,436759000,https://www.bea.gov/
geoId/06019,Fresno County,2021,1190319000,https://www.bea.gov/
