placeDcid,placeName,Date:Count_Household_FamilyHousehold,Value:Count_Household_FamilyHousehold,Source:Count_Household_FamilyHousehold
geoId/01001,Autauga County,2022,15363,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01003,Baldwin County,2022,61277,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01005,Barbour County,2022,5722,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01007,Bibb County,2022,4871,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01009,Blount County,2022,15416,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01011,Bullock County,2022,2248,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01013,Butler County,2022,4620,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01015,Calhoun County,2022,28213,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2022,8880,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01019,Cherokee County,2022,6609,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01021,Chilton County,2022,12257,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01023,Choctaw County,2022,3246,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01025,Clarke County,2022,5181,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01027,Clay County,2022,3934,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01029,Cleburne County,2022,3834,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01031,Coffee County,2022,13698,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01033,Colbert County,2022,14999,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01035,Conecuh County,2022,2601,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01037,Coosa County,2022,2761,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01039,Covington County,2022,9237,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
