placeDcid,placeName,Date:Count_Person_WhiteAlone,Value:Count_Person_WhiteAlone,Source:Count_Person_WhiteAlone
geoId/01001,Autauga County,2022,43747,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01003,Baldwin County,2022,195998,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01005,Barbour County,2022,11309,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01007,Bibb County,2022,16872,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01009,Blount County,2022,53941,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01011,Bullock County,2022,2397,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01013,Butler County,2022,9777,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01015,Calhoun County,2022,83306,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2022,19642,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01019,Cherokee County,2022,22884,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01021,Chilton County,2022,36693,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01023,Choctaw County,2022,7180,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01025,Clarke County,2022,11862,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01027,Clay County,2022,11581,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01029,Cleburne County,2022,14028,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01031,Coffee County,2022,38834,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01033,Colbert County,2022,44698,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01035,Conecuh County,2022,5751,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01037,Coosa County,2022,6859,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01039,Covington County,2022,31404,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01041,Crenshaw County,2022,9386,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01043,Cullman County,2022,81077,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01045,Dale County,2022,34817,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01047,Dallas County,2022,10634,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01049,DeKalb County,2022,59102,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01051,Elmore County,2022,64769,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01053,Escambia County,2022,22762,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01055,Etowah County,2022,80555,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01057,Fayette County,2022,13727,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01059,Franklin County,2022,24853,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01061,Geneva County,2022,22360,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01063,Greene County,2022,1333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01065,Hale County,2022,5663,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01067,Henry County,2022,12194,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01069,Houston County,2022,71260,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01071,Jackson County,2022,47208,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01073,Jefferson County,2022,338374,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01075,Lamar County,2022,11913,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01077,Lauderdale County,2022,79592,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01079,Lawrence County,2022,25421,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01081,Lee County,2022,120255,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01083,Limestone County,2022,80040,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01085,Lowndes County,2022,2493,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01087,Macon County,2022,3133,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01089,Madison County,2022,254819,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01091,Marengo County,2022,8705,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01093,Marion County,2022,26673,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01095,Marshall County,2022,83991,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
