placeDcid,placeName,Date:Count_Person_WithHealthInsurance,Value:Count_Person_WithHealthInsurance,Source:Count_Person_WithHealthInsurance
geoId/01001,Autauga County,2022,53218,https://www.census.gov/
geoId/01003,Baldwin County,2022,208602,https://www.census.gov/
geoId/01005,Barbour County,2022,19544,https://www.census.gov/
geoId/01007,Bibb County,2022,19090,https://www.census.gov/
geoId/01009,Blount County,2022,52639,https://www.census.gov/
geoId/01011,Bullock County,2022,8464,https://www.census.gov/
geoId/01013,Butler County,2022,16633,https://www.census.gov/
geoId/01015,Calhoun County,2022,102146,https://www.census.gov/
geoId/01017,Chambers County,2022,30446,https://www.census.gov/
geoId/01019,Cherokee County,2022,22246,https://www.census.gov/
geoId/01021,Chilton County,2022,39635,https://www.census.gov/
geoId/01023,Choctaw County,2022,11509,https://www.census.gov/
geoId/01025,Clarke County,2022,20584,https://www.census.gov/
geoId/01027,Clay County,2022,12795,https://www.census.gov/
geoId/01029,Cleburne County,2022,13477,https://www.census.gov/
geoId/01031,Coffee County,2022,45876,https://www.census.gov/
geoId/01033,Colbert County,2022,52270,https://www.census.gov/
geoId/01035,Conecuh County,2022,10530,https://www.census.gov/
geoId/01037,Coosa County,2022,9307,https://www.census.gov/
geoId/01039,Covington County,2022,33242,https://www.census.gov/
geoId/01041,Crenshaw County,2022,11828,https://www.census.gov/
geoId/01043,Cullman County,2022,78176,https://www.census.gov/
geoId/01045,Dale County,2022,42161,https://www.census.gov/
geoId/01047,Dallas County,2022,34406,https://www.census.gov/
geoId/01049,DeKalb County,2022,60510,https://www.census.gov/
geoId/01051,Elmore County,2022,76051,https://www.census.gov/
geoId/01053,Escambia County,2022,30047,https://www.census.gov/
geoId/01055,Etowah County,2022,90385,https://www.census.gov/
geoId/01057,Fayette County,2022,14477,https://www.census.gov/
geoId/01059,Franklin County,2022,27792,https://www.census.gov/
geoId/01061,Geneva County,2022,23143,https://www.census.gov/
geoId/01063,Greene County,2022,6569,https://www.census.gov/
geoId/01065,Hale County,2022,13501,https://www.census.gov/
geoId/01067,Henry County,2022,15363,https://www.census.gov/
geoId/01069,Houston County,2022,93527,https://www.census.gov/
geoId/01071,Jackson County,2022,46371,https://www.census.gov/
geoId/01073,Jefferson County,2022,605010,https://www.census.gov/
geoId/01075,Lamar County,2022,12652,https://www.census.gov/
geoId/01077,Lauderdale County,2022,84420,https://www.census.gov/
geoId/01079,Lawrence County,2022,29861,https://www.census.gov/
geoId/01081,Lee County,2022,158970,https://www.census.gov/
geoId/01083,Limestone County,2022,92925,https://www.census.gov/
geoId/01085,Lowndes County,2022,9107,https://www.census.gov/
geoId/01087,Macon County,2022,16837,https://www.census.gov/
geoId/01089,Madison County,2022,354416,https://www.census.gov/
geoId/01091,Marengo County,2022,17193,https://www.census.gov/
geoId/01093,Marion County,2022,25472,https://www.census.gov/
geoId/01095,Marshall County,2022,86039,https://www.census.gov/
geoId/01097,Mobile County,2022,363133,https://www.census.gov/
geoId/01099,Monroe County,2022,17353,https://www.census.gov/
geoId/01101,Montgomery County,2022,198747,https://www.census.gov/
geoId/01103,Morgan County,2022,107852,https://www.census.gov/
geoId/01105,Perry County,2022,7763,https://www.census.gov/
geoId/01107,Pickens County,2022,15854,https://www.census.gov/
geoId/01109,Pike County,2022,29825,https://www.census.gov/
geoId/01111,Randolph County,2022,20070,https://www.census.gov/
geoId/01113,Russell County,2022,50262,https://www.census.gov/
geoId/01115,St. Clair County,2022,82269,https://www.census.gov/
geoId/01117,Shelby County,2022,207689,https://www.census.gov/
geoId/01119,Sumter County,2022,10883,https://www.census.gov/
geoId/01121,Talladega County,2022,70663,https://www.census.gov/
geoId/01123,Tallapoosa County,2022,36720,https://www.census.gov/
geoId/01125,Tuscaloosa County,2022,214174,https://www.census.gov/
geoId/01127,Walker County,2022,56359,https://www.census.gov/
geoId/01129,Washington County,2022,13878,https://www.census.gov/
geoId/01131,Wilcox County,2022,9275,https://www.census.gov/
geoId/01133,Winston County,2022,20671,https://www.census.gov/
geoId/02013,Aleutians East Borough,2022,2051,https://www.census.gov/
geoId/02016,Aleutians West Census Area,2022,4154,https://www.census.gov/
geoId/02020,Anchorage Municipality,2022,249123,https://www.census.gov/
geoId/02050,Bethel Census Area,2022,15696,https://www.census.gov/
geoId/02060,Bristol Bay Borough,2022,679,https://www.census.gov/
geoId/02063,Chugach Census Area,2022,5788,https://www.census.gov/
geoId/02066,Copper River Census Area,2022,2088,https://www.census.gov/
geoId/02068,Denali Borough,2022,1991,https://www.census.gov/
geoId/02070,Dillingham Census Area,2022,3961,https://www.census.gov/
geoId/02090,Fairbanks North Star Borough,2022,80635,https://www.census.gov/
geoId/02100,Haines Borough,2022,1883,https://www.census.gov/
geoId/02105,Hoonah-Angoon Census Area,2022,1874,https://www.census.gov/
geoId/02110,Juneau City and Borough,2022,29215,https://www.census.gov/
geoId/02122,Kenai Peninsula Borough,2022,50731,https://www.census.gov/
geoId/02130,Ketchikan Gateway Borough,2022,12324,https://www.census.gov/
geoId/02150,Kodiak Island Borough,2022,10509,https://www.census.gov/
geoId/02158,Kusilvak Census Area,2022,7176,https://www.census.gov/
geoId/02164,Lake and Peninsula Borough,2022,684,https://www.census.gov/
geoId/02170,Matanuska-Susitna Borough,2022,91474,https://www.census.gov/
geoId/02180,Nome Census Area,2022,8376,https://www.census.gov/
geoId/02185,North Slope Borough,2022,9268,https://www.census.gov/
geoId/02188,Northwest Arctic Borough,2022,6186,https://www.census.gov/
geoId/02195,Petersburg Borough,2022,3008,https://www.census.gov/
geoId/02198,Prince of Wales-Hyder Census Area,2022,4699,https://www.census.gov/
geoId/02220,Sitka City and Borough,2022,7026,https://www.census.gov/
geoId/02230,Skagway Municipality,2022,1177,https://www.census.gov/
geoId/02240,Southeast Fairbanks Census Area,2022,5648,https://www.census.gov/
geoId/02261,Valdez-Cordova Census Area,2019,7297,https://www.census.gov/
geoId/02275,Wrangell City and Borough,2022,1765,https://www.census.gov/
geoId/02282,Yakutat City and Borough,2022,431,https://www.census.gov/
geoId/02290,Yukon-Koyukuk Census Area,2022,4210,https://www.census.gov/
geoId/04001,Apache County,2022,49888,https://www.census.gov/
geoId/04003,Cochise County,2022,108819,https://www.census.gov/
geoId/04005,Coconino County,2022,127837,https://www.census.gov/
geoId/04007,Gila County,2022,47177,https://www.census.gov/
geoId/04009,Graham County,2022,32504,https://www.census.gov/
geoId/04011,Greenlee County,2022,9233,https://www.census.gov/
geoId/04012,La Paz County,2022,14029,https://www.census.gov/
geoId/04013,Maricopa County,2022,3909923,https://www.census.gov/
geoId/04015,Mohave County,2022,191546,https://www.census.gov/
geoId/04017,Navajo County,2022,89478,https://www.census.gov/
geoId/04019,Pima County,2022,926542,https://www.census.gov/
geoId/04021,Pinal County,2022,373041,https://www.census.gov/
geoId/04023,Santa Cruz County,2022,40955,https://www.census.gov/
geoId/04025,Yavapai County,2022,210572,https://www.census.gov/
geoId/04027,Yuma County,2022,169643,https://www.census.gov/
geoId/05001,Arkansas County,2022,15732,https://www.census.gov/
geoId/05003,Ashley County,2022,17297,https://www.census.gov/
geoId/05005,Baxter County,2022,38724,https://www.census.gov/
geoId/05007,Benton County,2022,258214,https://www.census.gov/
geoId/05009,Boone County,2022,34527,https://www.census.gov/
geoId/05011,Bradley County,2022,9071,https://www.census.gov/
geoId/05013,Calhoun County,2022,4338,https://www.census.gov/
geoId/05015,Carroll County,2022,24592,https://www.census.gov/
geoId/05017,Chicot County,2022,8603,https://www.census.gov/
geoId/05019,Clark County,2022,19236,https://www.census.gov/
geoId/05021,Clay County,2022,13294,https://www.census.gov/
geoId/05023,Cleburne County,2022,22858,https://www.census.gov/
geoId/05025,Cleveland County,2022,7209,https://www.census.gov/
geoId/05027,Columbia County,2022,20690,https://www.census.gov/
geoId/05029,Conway County,2022,19187,https://www.census.gov/
geoId/05031,Craighead County,2022,100526,https://www.census.gov/
